0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Tarifa Ofertas Semana 09,,Válida del 01 de Marzo al 06 de Marzo del 2021,,,,,I.V.A. no Incluido,0.1,0.15,0.2,,
Código,Sección,Producto,€/Kg. o €/Unidad,+ 5 kgs. o piezas (aplicado 10% dto.),+ 10 kgs. o piezas (aplicado 15% dto.),+ 25 kgs. o piezas (aplicado 20% dto.),Tipo I.V.A. aplicable,Origen,Origen,Origen,Origen,Su Pedido,
,,¡¡¡Productos Recomendados!!!,,,,,,,,,,,
1145,,Aceituna Aloreña verde aliñada en agua con sal BIO no pasteurizada (env. 550 grs. cristal),3.39,3.051,Precio por envase de cristal de 550 grs.,,0.1,Málaga,,,,,
6025,,Aceituna Aloreña verde aliñada en agua con sal BIO no pasteurizada (env. 800 grs.),3.98,3.582,Precio por envase de plástico de 800 grs.,,0.1,Málaga,,,,,
6160,,"Aceituna negra (PULPA EN PASTA O PATÉ) BIO deshidratada en crudo, sin semilla, sin pasteurizar, sin sal… ideal como base para elaborar patés… (env. cristal 115 grs.)",2.39,PRECIO POR ENVASE DE CRISTAL DE  115 grs.,,,0.1,Málaga,,,,,
6160,,"Aceituna negra (PULPA EN PASTA O PATÉ) BIO deshidratada en crudo, sin semilla, sin pasteurizar, sin sal… ideal como base para elaborar patés… (env. cristal 310 grs.)",5.79,PRECIO POR ENVASE DE CRISTAL DE  310 grs.,,,0.1,Málaga,,,,,
6160,,"Aceituna negra (PULPA EN PASTA O PATÉ) BIO deshidratada en crudo, sin semilla, sin pasteurizar, sin sal… ideal como base para elaborar patés… (env. 4 kgs.)",16.49,PRECIO POR KG EN ENVASE DE    4 KG,,,0.1,Málaga,,,,,
5179,,Aceituna negra deshidratada natural sin sal cosecha 2020 (producción propia) env. 500 grs. Finca orgánica sin certificado. RAW,5.89,Precio por envase de 500 grs.,,,0.04,Granada,,,,,
5119-F,,Aceituna negra fresca fermentada sin agua y sin sal no pasteurizada (env. 400 grs. cristal). Procedende de finca con cultivo orgánico,7.59,Precio por envase de cristal de 400 grs. +/-,,,0.04,Valencia,,,,,
5119-S,,Aceituna negra seca fermentada sin agua y sin sal no pasteurizada (env. 400 grs. cristal). Procedende de finca con cultivo orgánico,7.59,Precio por envase de cristal de 400 grs. +/-,,,0.04,Valencia,,,,,
5119-SF,Frutas,Aceituna negra semi-fresca fermentada sin agua y sin sal no pasteurizada (env. 400 grs. cristal). Procedende de finca con cultivo orgánico,7.59,Precio por envase de cristal de 400 grs. +/-,,,0.04,Valencia,,,,,
5119-SS,,Aceituna negra semi-seca fermentada sin agua y sin sal no pasteurizada (env. 400 grs. cristal). Procedende de finca con cultivo orgánico,7.59,Precio por envase de cristal de 400 grs. +/-,,,0.04,Valencia,,,,,
1541,,Aceituna negra semi-seca sin hueso con sal sin agua BIO no pasteurizada (env. 500 grs.) ,6.98,Precio por envase de 500 grs.,,,0.1,Importación,,,,,
3312,,Aguacate Bacon local (pequeño). Solo 25 kgs. en stock,3.49,3.141,-,-,0.04,Granada,,,,,
3001,,Aguacate Bacon local (poca cantidad),3.98,3.582,3.383,-,0.04,Granada,,,,,
3026,,Aguacate Californiano local,4.59,4.131,3.9015,-,0.04,Granada,,,,,
5198,,Aguacate Californiano local (ligeros defectos superficiales en la piel),3.79,3.411,3.2215,3.032,0.04,Granada,,,,,
5090-5091-3909- 5060,,Aguacate económico local (pequeño o con defectos estéticos en la piel),1.98,1.782,1.683,-,0.04,Málaga,,,,,
3267,,Aguacate Fuerte cocktail local,5.74,5.166,-,-,0.04,Málaga,,,,,
3048- 3773,Frutas,Aguacate Fuerte local,4.49,4.041,3.8165000000000004,3.592,0.04,Málaga,,,,,
1022.96,,Aguacate Hass BIO. Finca con certificado ecológico CAAE desde 1985 + certificado BIO Suisse desde 2009,3.69,3.3209999999999997,3.1365,2.952,0.04,Málaga,,,,,
1022. 115/   1022.908,,Aguacate Hass BIO recién recolectado (select product). Producción propia,4.69,4.221,3.9865000000000004,-,0.04,Granada,,,,,
1473- 1200.96- 1300,,"Aguacate Hass BIO (empezando a madurar, pequeño o con defectos estéticos en la piel). Disponibilidad incierta",3.29,2.961,2.7965,2.632,0.04,Málaga,,,,,
3091-3909. 350.1,,Aguacate Hass local (calibre pequeño/mediano empezando levemente a madurar),1.94,1.746,1.649,-,0.04,Málaga,,,,,
3009,,Aguacate Hass local (select product),4.59,4.131,3.9015,3.6719999999999997,0.04,Granada,,,,,
